Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [�m/m]	A2 [�m/m]	A3 [�m/m]	A4 [�m/m]	A5 [�m/m]	A6 [�m/m]	A7 [�m/m]	AT [�C]	B1 [�m/m]	B2 [�m/m]	B3 [�m/m]	B4 [�m/m]	B5 [�m/m]	B6 [�m/m]	B7 [�m/m]	B8 [�m/m]	B9 [�m/m]	B10 [�m/m]	B11 [�m/m]	B12 [�m/m]	B13 [�m/m]	B14 [�m/m]	B15 [�m/m]	BT [�C]	D1 [�m/m]	D2 [�m/m]	D3 [�m/m]	D4 [�m/m]	D5 [�m/m]	D6 [�m/m]	D7 [�m/m]	DT [�C]	E1 [�m/m]	E2 [�m/m]	E3 [�m/m]	E4 [�m/m]	E5 [�m/m]	E6 [�m/m]	E7 [�m/m]	E8 [�m/m]	E9 [�m/m]	E10 [�m/m]	E11 [�m/m]	E12 [�m/m]	E13 [�m/m]	E14 [�m/m]	E15 [�m/m]	ET [�C]
0,02000	1683226672	60,00	137,37	173,75	140,58	160,08	111,96	140,26	105,40	27,85	127,22	148,90	79,35	165,41	165,56	163,89	100,85	162,43	46,65	89,01	125,10	114,17	173,26	95,06	109,49	27,86	79,71	143,46	144,61	59,89	101,70	3,467	306,76	27,02	105,03	100,52	59,60	144,07	143,82	91,80	119,93	113,39	52,63	11,70	44,03	106,85	109,99	149,30	336,79	27,02	
0,02200	1683226672	60,00	137,16	173,75	140,58	162,19	113,05	140,75	105,01	27,74	126,30	148,49	78,74	165,31	164,95	163,08	99,65	163,03	45,46	89,80	125,20	113,38	174,04	95,64	110,66	27,87	79,61	142,24	144,51	60,09	101,10	1,981	306,57	26,89	104,62	100,32	58,78	143,16	143,82	91,19	122,34	114,39	51,34	11,40	43,24	106,95	109,99	149,69	336,79	27,03	
0,02400	1683226672	60,00	137,78	173,34	141,18	161,09	112,75	140,75	105,80	27,85	127,02	148,09	78,94	164,80	165,66	163,59	99,45	163,43	45,06	89,71	125,10	113,38	174,24	95,25	110,07	27,82	79,71	142,04	144,11	59,29	102,50	2,278	306,17	27,02	104,72	101,65	58,27	144,07	144,52	90,99	121,74	113,99	52,93	11,00	42,85	107,73	109,79	149,20	337,47	27,05	
0,02600	1683226672	60,00	137,37	173,34	140,17	160,89	112,75	139,57	106,59	27,79	126,71	148,29	79,35	164,70	164,75	163,69	99,75	162,43	45,26	89,01	124,02	114,27	174,24	95,35	111,24	27,79	80,32	142,44	144,11	59,09	102,30	2,278	306,37	26,97	104,31	100,72	58,88	143,77	143,41	92,20	122,34	113,99	52,43	11,10	42,65	106,55	110,09	148,12	336,31	27,02	
0,02800	1683226672	60,00	138,19	174,77	139,77	160,89	111,86	140,85	106,68	27,90	126,30	148,39	77,92	164,70	166,37	162,98	100,55	163,63	44,76	89,61	125,50	113,78	173,94	94,57	110,07	27,82	79,71	142,24	144,51	59,69	102,30	2,278	306,96	27,02	104,10	100,11	58,68	144,07	144,02	90,99	119,93	114,59	51,34	11,10	43,64	107,54	109,79	149,69	337,28	26,97	
0,03000	1683226672	60,00	137,57	174,77	139,97	160,68	112,75	140,16	106,98	27,85	126,71	148,29	78,74	164,90	165,56	163,49	101,15	161,83	44,56	90,20	124,51	113,58	173,94	94,08	111,14	27,75	78,99	143,56	144,11	60,09	100,71	1,783	305,78	27,02	104,92	99,91	60,11	143,47	143,41	90,59	120,53	113,39	51,83	10,90	42,65	108,13	110,18	149,69	337,18	26,92	
0,03200	1683226672	60,00	137,78	173,95	140,17	160,58	113,35	139,76	106,78	27,85	126,71	148,49	79,14	164,30	165,06	163,29	99,95	162,13	45,66	89,61	125,10	113,58	174,24	94,96	109,29	27,87	79,71	142,04	144,71	58,69	101,90	2,873	306,17	26,99	104,20	100,93	59,09	143,16	144,52	91,40	121,24	114,39	52,03	10,51	43,44	107,14	110,67	149,49	338,16	27,09	
0,03400	1683226672	60,00	137,78	175,17	140,78	159,88	112,16	139,76	106,78	27,90	127,12	147,78	79,14	166,63	165,76	162,68	99,35	163,13	45,66	89,61	124,31	114,17	175,22	95,64	110,27	27,70	79,61	143,16	144,51	59,69	102,10	2,278	305,68	27,01	103,90	100,32	60,72	144,58	143,82	90,79	121,34	112,99	51,83	11,10	43,04	106,16	110,97	150,56	337,57	26,92	
0,03600	1683226672	60,00	137,16	174,56	139,16	159,28	112,75	139,07	107,96	27,88	126,92	148,90	78,63	164,80	165,76	163,49	101,35	161,83	44,86	88,42	125,30	113,58	173,65	95,25	109,68	27,72	80,32	143,16	142,90	60,09	101,90	1,684	306,57	27,09	104,72	101,03	59,49	143,36	142,81	90,79	120,63	113,39	52,23	10,80	43,54	106,36	109,79	149,59	338,35	26,89	
0,03800	1683226672	60,00	137,37	174,77	139,47	160,28	111,86	139,67	106,29	27,85	127,43	147,98	78,74	165,41	166,57	163,69	100,25	164,03	45,66	90,20	124,91	113,29	175,02	95,55	109,49	27,82	79,71	142,85	144,11	59,29	103,10	1,981	305,68	27,04	104,92	100,01	58,68	144,68	144,02	91,19	121,74	113,39	52,03	11,00	43,24	106,55	109,40	149,88	337,86	26,97	
0,04000	1683226672	60,00	137,37	174,16	140,98	159,98	112,75	140,75	105,60	27,85	127,02	148,70	79,55	165,31	166,57	163,08	100,55	163,23	45,36	89,80	125,20	114,17	174,73	95,64	109,39	27,71	79,71	143,05	144,31	59,49	101,60	2,674	307,06	27,04	104,00	100,62	58,68	144,58	143,82	89,58	120,94	114,39	51,63	10,80	43,24	107,54	111,16	149,98	337,09	26,87	
0,04200	1683226672	60,00	136,14	174,46	139,37	160,18	112,75	139,17	106,68	27,95	126,09	149,11	78,94	164,90	165,76	162,98	100,35	162,23	46,65	90,00	125,70	113,78	174,43	95,06	110,27	27,87	80,32	142,95	143,91	59,29	102,50	1,981	306,96	27,07	104,31	101,54	59,49	142,96	143,21	90,99	121,84	113,39	51,73	10,21	44,03	106,16	110,18	149,88	337,86	27,05	
0,04400	1683226672	60,00	137,16	174,77	140,68	160,08	112,36	140,16	106,19	27,82	126,71	148,70	78,84	166,12	165,96	162,78	100,25	164,22	45,46	88,81	124,12	113,48	175,02	95,55	109,78	27,70	79,71	144,17	144,51	60,49	101,30	2,476	306,47	26,97	103,59	100,62	59,39	144,28	144,42	91,40	120,53	113,79	52,03	10,51	42,45	107,54	110,48	149,20	337,18	27,00	
0,04600	1683226672	60,00	137,37	173,95	140,48	160,89	112,75	140,16	105,70	27,92	126,92	147,88	78,63	163,69	165,36	162,98	100,35	162,43	44,76	88,52	124,02	114,17	173,94	95,06	111,73	27,67	79,71	143,36	144,51	59,89	103,10	1,684	306,76	26,97	104,82	100,62	59,49	144,18	144,42	90,99	122,54	114,49	52,63	10,51	42,06	107,93	109,79	149,78	337,18	26,91	
0,04800	1683226672	60,00	136,76	174,26	140,07	159,68	112,75	140,36	105,90	27,87	126,09	149,11	78,74	165,51	165,06	163,89	100,55	162,43	46,16	89,01	125,60	113,68	174,14	97,21	111,14	27,73	78,99	144,48	144,51	60,09	103,40	2,080	306,47	26,98	103,59	100,32	59,70	143,57	144,52	91,40	121,14	113,99	53,62	9,912	43,64	107,05	110,58	148,71	336,60	26,97	
0,05000	1683226672	60,00	137,16	174,56	140,58	161,09	112,75	139,67	106,19	27,90	128,25	148,60	77,92	164,90	165,96	163,49	99,95	161,23	46,55	90,30	125,10	113,88	175,51	95,25	109,88	27,75	79,71	142,44	144,71	59,09	101,30	1,882	306,17	27,09	104,62	101,34	59,49	144,78	143,82	91,40	121,64	113,99	52,63	10,51	42,06	106,95	111,16	149,88	336,79	26,97	
0,05200	1683226672	60,00	137,37	173,75	139,97	160,08	113,35	139,57	106,29	27,82	127,43	148,60	78,33	164,90	165,56	163,08	100,95	162,23	46,55	88,71	124,71	113,29	174,43	94,86	111,34	27,86	79,61	143,05	143,00	59,29	101,70	2,278	306,47	27,01	104,92	101,03	59,29	143,57	142,81	90,79	120,74	114,69	53,23	10,61	43,04	107,14	111,75	148,61	336,99	27,09	
0,05400	1683226672	60,00	138,19	175,38	141,18	161,09	114,15	139,86	106,19	27,92	125,99	148,90	77,92	164,70	164,95	163,18	100,05	163,93	44,66	90,20	125,30	112,89	173,84	95,16	111,04	27,77	79,71	142,85	145,12	59,29	101,30	3,269	306,76	27,02	103,69	101,85	58,98	144,48	143,21	91,60	120,74	113,99	51,53	10,61	43,64	106,75	111,07	149,30	337,38	27,00	
0,05600	1683226672	60,00	137,37	173,75	140,17	159,68	111,96	139,17	105,90	28,00	126,50	148,29	77,92	164,09	164,85	163,49	101,15	161,23	44,66	90,20	125,10	112,99	173,45	95,25	110,07	27,76	79,71	142,95	143,91	60,29	101,90	2,377	306,76	27,07	104,51	100,52	58,88	143,36	143,21	90,79	120,94	113,39	51,63	10,90	42,65	106,75	109,79	149,69	337,28	27,00	
0,05800	1683226672	60,00	137,16	175,07	139,37	159,88	113,05	139,67	105,21	27,80	126,71	149,11	78,33	164,90	165,56	162,68	100,15	162,43	45,96	89,21	124,91	114,37	173,84	95,55	110,56	27,83	79,71	143,56	144,51	60,29	101,10	1,981	306,76	26,96	104,41	101,54	58,88	144,18	143,41	91,09	120,94	113,39	52,63	11,10	43,34	106,36	109,40	149,88	337,09	27,07	
0,06000	1683226672	60,00	138,19	173,95	139,97	159,78	112,75	140,66	105,40	27,92	127,02	148,29	79,14	165,41	165,46	163,59	100,75	163,03	45,26	89,21	124,71	113,38	175,51	96,43	110,95	27,68	80,32	142,44	143,91	59,49	100,51	3,467	305,88	27,02	104,62	100,72	58,68	143,97	143,21	90,99	121,74	114,89	52,23	11,10	43,04	106,55	110,18	149,69	336,21	26,91	
0,06200	1683226672	60,00	137,37	173,55	140,38	159,48	112,16	139,57	105,90	27,72	127,22	148,09	78,74	165,51	165,16	163,59	101,35	163,43	45,06	88,61	125,70	113,38	172,57	95,16	110,46	27,76	80,32	143,05	144,41	59,09	101,60	1,684	306,76	26,87	104,41	101,03	58,88	143,97	143,82	92,20	120,94	113,49	51,83	10,80	44,03	107,14	109,69	148,61	337,18	27,00	
0,06400	1683226672	60,00	138,39	173,95	139,97	160,38	112,55	139,17	105,80	27,66	127,12	148,49	79,35	164,80	165,76	163,69	101,05	161,23	46,26	90,60	124,71	113,58	174,14	94,67	111,82	27,71	80,32	142,44	144,31	60,09	103,00	2,377	306,76	26,87	104,51	100,32	58,68	143,36	143,72	91,60	121,64	112,99	52,83	10,90	43,93	106,36	110,77	150,08	336,02	26,87	
0,06600	1683226672	60,00	137,78	173,95	139,37	160,58	112,85	139,17	106,19	27,85	126,92	147,17	78,33	165,51	164,95	163,08	101,15	163,63	46,26	90,40	124,51	114,07	174,14	94,86	109,49	27,77	80,32	143,97	143,50	61,09	101,60	2,873	307,26	26,97	104,10	99,60	59,70	143,97	143,41	90,09	121,14	113,39	52,23	11,70	43,44	107,05	109,99	150,47	337,57	26,92	
0,06800	1683226672	60,00	137,57	174,56	139,37	160,89	112,75	139,07	106,19	27,87	126,71	147,57	79,35	165,41	164,75	162,38	99,95	162,83	45,86	89,21	124,31	113,58	173,84	96,82	110,85	27,83	80,94	143,77	144,31	59,89	103,30	1,981	307,16	27,12	103,69	100,52	58,88	144,58	143,82	89,79	121,54	113,59	52,43	11,40	42,85	106,36	110,09	149,49	336,40	27,00	
0,07000	1683226672	60,00	138,09	173,95	140,98	160,48	112,95	140,26	105,40	27,85	127,63	148,90	79,14	164,90	165,16	165,30	99,95	162,43	45,26	89,61	124,51	113,38	176,00	95,16	110,46	27,72	78,99	143,05	144,31	59,89	101,60	1,684	306,47	26,94	104,72	101,65	59,29	144,28	143,11	92,10	121,14	113,39	52,03	9,516	43,44	107,64	110,97	149,49	337,28	26,96	
0,07200	1683226672	60,00	137,16	173,75	139,77	160,68	112,55	140,16	105,80	27,87	126,61	149,31	78,74	166,02	166,17	163,08	100,55	163,03	44,86	89,41	124,71	113,19	173,45	95,64	109,49	27,77	80,32	143,46	144,51	59,69	102,70	1,486	306,96	26,98	103,69	101,44	58,68	143,87	144,02	91,40	122,04	113,79	53,23	11,50	42,65	106,95	109,99	149,30	338,25	27,00	
0,07400	1683226672	60,00	138,39	174,56	140,17	160,38	112,75	139,57	105,40	27,88	126,40	148,09	79,35	165,41	165,76	163,89	100,35	162,53	46,06	89,21	124,31	114,07	175,02	96,82	109,49	27,67	78,99	141,83	144,01	58,89	102,90	1,684	304,80	26,92	104,00	100,42	58,98	144,89	143,82	91,40	121,14	114,19	52,53	10,31	43,04	106,55	110,28	148,90	337,77	26,97	
0,07600	1683226672	60,00	137,57	173,04	139,97	160,48	113,15	140,26	105,60	27,98	126,92	148,29	78,63	165,41	166,17	163,39	101,25	162,43	46,55	89,61	124,02	112,79	173,65	95,25	111,34	27,75	80,32	143,87	144,01	59,49	102,30	1,981	306,37	27,14	104,82	100,52	59,70	143,87	143,21	90,89	121,44	113,79	52,63	11,30	42,45	107,54	109,79	149,69	336,99	26,97	
0,07800	1683226672	60,00	137,57	173,75	139,97	160,38	112,16	140,26	106,39	27,96	126,92	147,98	79,45	164,90	165,36	163,39	101,15	162,53	45,86	88,71	125,30	113,97	174,43	94,86	110,66	27,79	79,61	142,85	144,11	59,49	102,70	1,684	307,06	27,07	104,72	100,01	59,09	143,36	144,02	90,29	120,23	114,19	52,23	10,71	43,54	106,16	110,18	149,10	337,77	27,02	
0,08000	1683226672	60,00	136,96	174,77	140,17	160,68	113,65	140,85	106,59	27,92	126,61	147,57	79,14	164,90	165,16	163,29	99,65	161,53	45,66	90,00	125,70	113,88	174,63	94,67	110,85	27,77	80,32	142,85	143,50	59,69	99,91	1,585	306,37	27,07	103,69	100,21	59,70	143,57	142,81	90,19	121,34	113,19	51,83	11,50	44,03	107,24	110,18	150,08	336,60	26,93	
0,08200	1683226672	60,00	137,57	174,36	139,47	160,48	112,75	140,26	106,29	27,79	126,50	148,49	78,94	165,51	165,56	163,18	99,85	162,13	44,66	89,01	124,71	113,09	173,45	96,23	111,04	27,77	80,32	143,46	143,40	60,89	102,50	3,665	307,26	26,92	103,90	100,93	59,09	144,28	143,41	91,60	122,14	114,49	52,63	10,51	43,54	106,75	110,38	149,88	337,77	27,00	
0,08400	1683226672	60,00	137,16	173,55	139,97	161,09	112,95	140,16	107,18	27,72	126,30	148,09	78,94	165,41	166,37	162,78	101,15	161,83	45,66	89,41	124,51	113,58	173,26	96,03	109,10	27,82	80,32	143,05	144,01	59,49	101,90	3,170	307,16	26,92	104,10	100,42	59,70	143,77	143,82	90,79	120,63	113,39	51,63	10,51	43,24	105,87	110,18	149,30	336,50	26,91	
0,08600	1683226672	60,00	137,37	174,77	140,58	160,18	112,16	140,26	106,09	27,90	128,04	148,29	77,92	166,02	166,17	164,39	101,05	161,93	45,36	90,30	125,79	113,78	174,43	96,23	109,68	27,70	80,32	142,85	143,80	59,09	102,50	2,278	307,16	27,02	104,31	101,24	59,90	144,68	144,52	90,39	121,14	112,99	52,53	11,30	43,24	107,05	109,99	150,08	337,28	26,92	
0,08800	1683226672	60,00	137,37	174,36	139,77	160,58	112,75	139,67	106,39	27,79	127,12	148,70	78,94	165,31	164,95	164,19	100,55	162,73	46,45	90,20	124,71	114,56	173,94	95,64	109,49	27,70	80,32	143,46	143,91	59,69	101,90	2,278	306,17	26,97	104,51	101,44	58,68	143,47	143,82	92,20	121,14	113,79	52,43	10,71	43,54	106,55	110,18	150,56	338,74	26,92	
0,09000	1683226672	60,00	138,60	173,65	140,38	160,68	111,96	140,16	105,50	27,97	126,92	148,70	78,33	166,02	165,66	162,68	100,55	163,13	46,26	89,71	124,91	112,20	174,73	95,64	110,27	27,67	78,99	142,04	144,51	59,29	102,80	2,476	305,88	27,09	104,10	101,24	59,29	144,38	143,92	89,58	120,74	112,99	51,83	10,61	43,34	107,73	110,38	149,30	336,79	26,91	
0,09200	1683226672	60,00	137,78	173,45	139,97	160,58	112,75	139,76	105,01	27,82	127,02	148,09	79,55	164,90	165,56	163,89	101,35	162,83	46,06	90,20	126,29	114,17	174,24	95,45	110,17	27,89	80,32	142,85	144,01	59,89	101,90	3,170	307,16	27,01	104,00	101,03	59,60	144,58	143,41	90,79	121,44	113,99	52,03	11,30	43,44	106,95	111,16	149,49	336,79	27,12	
0,09400	1683226672	60,00	137,37	174,46	139,37	160,28	113,75	139,67	106,49	27,71	126,50	148,70	79,55	165,41	165,46	162,78	99,95	163,43	45,86	90,40	125,10	112,20	173,65	95,25	109,68	27,65	79,71	142,34	144,31	59,89	102,30	3,071	305,58	26,97	103,90	100,83	58,78	143,67	143,82	90,79	121,14	113,99	52,83	10,61	43,24	105,77	110,28	149,49	337,18	26,89	
0,09600	1683226672	60,00	137,37	174,77	140,98	159,68	112,36	140,36	106,09	27,90	126,92	148,39	79,75	164,30	165,46	163,69	101,15	162,53	45,26	88,71	125,10	114,37	174,43	95,45	111,04	27,75	79,71	143,46	144,51	59,69	102,50	1,783	306,76	27,01	104,10	100,72	59,70	143,77	143,21	90,59	120,94	113,59	52,43	10,31	42,06	107,14	110,48	149,30	337,57	26,97	
0,09800	1683226672	60,00	137,78	173,65	139,37	161,49	112,75	140,26	106,39	27,87	126,30	148,60	79,14	164,80	165,26	163,08	99,65	161,93	45,26	89,61	125,30	113,97	173,84	96,82	110,46	27,79	79,61	143,26	143,50	59,49	100,51	1,981	306,96	27,03	103,49	100,42	59,09	144,07	143,92	91,40	121,44	112,99	52,03	10,71	44,13	106,95	109,40	148,90	337,57	27,09	
0,1000	1683226672	60,00	137,57	174,77	139,97	159,68	111,76	140,36	105,70	27,85	127,53	148,09	78,94	166,63	164,85	164,29	100,55	163,43	45,46	90,40	124,51	113,58	174,14	96,03	109,68	27,82	78,99	141,83	144,41	59,49	102,50	2,873	306,76	27,06	104,82	101,03	58,88	144,38	144,52	90,79	121,34	113,39	52,03	10,71	42,65	107,93	110,18	149,59	337,57	27,05	
0,1020	1683226672	60,00	136,96	173,65	140,98	160,38	112,75	139,17	105,90	27,77	125,89	148,29	79,14	165,31	166,27	163,49	100,85	162,53	46,45	89,11	125,30	113,78	174,14	96,23	109,88	27,84	80,32	141,32	144,51	60,09	102,50	2,080	306,76	26,94	105,23	100,52	58,88	143,87	143,92	90,79	120,74	112,99	51,63	10,21	43,54	107,54	110,18	149,10	337,77	27,02	
0,1040	1683226672	60,00	136,96	174,56	141,18	161,49	114,05	140,16	106,29	27,87	126,71	148,09	79,24	165,41	165,16	163,49	99,75	163,43	46,26	89,90	124,51	113,97	175,80	95,35	110,75	27,77	78,99	141,22	145,12	60,09	101,10	1,585	305,88	27,06	104,31	101,03	58,88	143,57	144,42	90,79	121,44	113,39	52,63	10,61	43,83	107,05	109,79	149,30	336,70	27,00	
0,1060	1683226672	60,00	137,16	172,94	140,58	160,89	113,75	140,85	106,19	27,95	127,12	147,47	78,43	165,41	166,17	164,29	101,15	163,03	45,96	90,60	126,49	113,97	174,53	94,67	110,75	27,67	79,71	141,83	144,51	60,69	102,30	1,387	306,96	27,07	104,51	100,42	60,11	144,68	143,82	91,19	120,94	113,39	52,43	11,30	45,21	106,85	110,48	150,27	337,77	26,97	
0,1080	1683226672	60,00	136,96	173,34	140,07	160,68	112,36	139,76	106,19	27,86	126,71	148,90	77,82	166,12	164,85	162,08	101,46	161,63	45,96	89,71	125,10	113,68	174,04	96,62	111,82	27,79	78,38	142,04	144,11	59,09	102,50	2,278	305,39	27,07	103,69	102,05	58,88	145,19	143,21	90,19	120,74	112,89	53,33	11,40	43,04	106,75	110,58	149,49	336,79	26,95	
0,1100	1683226672	60,00	137,98	174,77	140,78	160,08	112,36	140,36	105,90	27,79	128,15	148,09	79,75	166,02	165,16	163,49	100,25	163,43	45,06	90,30	124,41	113,48	174,63	95,64	111,43	27,73	79,61	142,85	145,12	60,69	102,50	2,674	306,47	26,97	104,72	100,42	58,88	144,78	143,21	91,19	120,94	112,39	51,63	9,912	42,85	107,34	110,38	150,27	335,63	26,97	
0,1120	1683226672	110,00	137,88	175,07	139,97	159,88	113,55	139,27	106,59	27,87	126,50	147,37	78,43	165,51	165,36	163,08	100,75	161,63	46,06	90,20	125,89	113,68	172,86	96,43	111,82	27,86	80,94	144,27	144,01	60,09	100,80	3,665	306,57	27,06	103,90	100,21	59,90	144,58	143,41	90,59	121,74	113,39	53,23	11,30	43,93	107,05	109,20	149,88	336,79	27,02	
0,1140	1683226672	110,00	137,16	173,34	140,48	160,38	112,16	140,16	107,18	27,77	126,71	148,90	78,94	166,12	165,16	163,89	99,95	162,83	45,66	89,80	125,10	113,48	173,84	95,25	111,14	27,87	78,99	141,83	144,51	59,89	101,60	1,981	306,76	27,02	104,31	101,44	59,29	144,68	144,42	91,40	120,53	113,99	52,03	10,61	44,23	106,95	110,38	149,69	336,99	27,02	
0,1160	1683226672	110,00	137,78	174,36	140,58	161,09	111,86	141,25	105,90	27,95	127,02	147,88	79,45	165,41	165,56	163,69	98,95	163,03	45,16	88,71	125,10	113,48	174,14	95,25	110,36	27,77	79,71	142,85	144,51	59,69	102,50	1,486	305,58	27,01	104,72	100,83	59,70	145,60	143,21	91,19	121,74	112,89	52,63	10,80	42,65	107,44	109,40	150,08	337,28	26,93	
0,1180	1683226672	110,00	137,78	174,56	139,97	160,89	112,95	139,07	105,60	27,98	126,61	147,98	77,92	165,51	164,65	163,29	101,15	163,03	45,06	89,41	124,71	113,88	173,94	96,91	111,04	27,92	80,94	143,77	144,41	59,29	101,70	3,071	305,58	27,11	104,41	100,01	59,29	144,68	143,21	91,80	121,54	113,79	51,83	10,90	43,04	106,36	109,60	149,49	337,09	27,07	
0,1200	1683226672	110,00	137,78	173,95	139,06	160,48	113,15	140,16	105,01	27,96	127,63	147,06	78,12	165,41	165,16	162,68	100,55	161,63	45,66	89,11	125,89	113,38	174,43	95,16	110,07	27,65	78,99	143,26	144,01	60,09	101,70	1,882	306,76	26,94	104,72	100,93	58,48	143,36	144,42	90,59	120,94	112,39	52,23	10,41	43,54	107,14	110,18	149,30	337,86	26,89	
0,1220	1683226672	110,00	137,98	173,65	140,17	159,68	112,36	139,67	105,40	28,01	127,22	149,11	78,43	164,90	164,55	163,49	100,55	162,13	44,86	89,11	125,30	112,79	174,14	96,91	110,85	27,72	80,32	142,65	144,11	59,49	103,90	2,278	306,17	27,14	104,41	101,13	57,86	144,48	143,41	90,59	121,44	113,39	53,03	10,51	43,04	105,87	109,69	149,88	337,18	27,09	
